[2022-09-02 20:50:58 : INFO] - Task with ID 633 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/10-01.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 632, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 632 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/11-01.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 631, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 631 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/12-01.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 630, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 630 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/02/saurabh.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 629, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 629 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/02/jatin.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 628, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 628 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/02/kush.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 627, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 627 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/pratishtha.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 626, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 626 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/manvi.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 625, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 625 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/akash.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 624, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 624 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/ambuj.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 623, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 623 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/mahima.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 622, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 622 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/drishti.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 621, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 621 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/02/Gitika.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 620, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 620 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/02/luv.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 619, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 619 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/05/course_image-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 618, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 618 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/05/lesson_image-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 617, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Could not find file for image: ID=8946, file=/home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/1-01-01.webp 
[2022-09-02 20:50:58 : INFO] - Task with ID 617 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/07/second_screen-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 616, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 616 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/07/certificate-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 615, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 615 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/08/photo-1416339134316-0e91dc9ded92-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 614, and type 'smush' 
